site code,time,species,mean log pd Loads,lse
NY_AL,9.2483871,EPFU,-5.5691269,1.5915047
VA_BA,9.05483871,EPFU,-6.1907037,1.5915047
VA_BA,9.05483871,MYLU,-3.6216976,0.3121197
VA_BA,10.66774194,EPFU,-5.7697688,0.7957523
VA_BA,10.66774194,MYLU,-5.6083417,1.5915047
IL_BL,3.40967742,MYLU,-1.2726925,0.3393099
IL_BL,3.40967742,MYSE,-1.6882807,0.3651162
IL_BL,3.40967742,MYSO,-3.7419295,0.3859966
IL_BL,3.40967742,PESU,-1.2321149,0.3859966
IL_BL,7.50645161,EPFU,-1.9358955,0.7957523
IL_BL,7.50645161,MYLU,-0.6939301,0.3558713
IL_BL,7.50645161,MYSE,-0.8533971,0.9188557
IL_BL,7.57096774,EPFU,-4.7820156,0.7117425
IL_BL,7.57096774,MYLU,-1.627852,0.3651162
IL_BL,7.57096774,MYSE,-0.9578734,0.3393099
VA_BR,1.57096774,MYLU,-3.8520283,1.5915047
VA_BR,2.76451613,MYLU,-3.7704278,1.5915047
VA_BR,2.76451613,MYSO,-5.2781487,1.5915047
VA_BR,2.76451613,PESU,-5.3279522,1.5915047
VA_BR,7.63548387,MYLU,-0.4671327,1.5915047
VA_BR,7.63548387,MYSO,-3.0908662,0.4109247
VA_BR,7.63548387,PESU,-0.2508049,0.7957523
VA_BU,2.08709677,MYSO,-5.0734906,1.5915047
NY_BU,7.2483871,EPFU,-2.8818331,0.4798567
NY_BU,7.2483871,MYLE,-3.4445639,0.6497291
NY_BU,7.2483871,MYLU,-2.1247556,0.4109247
VA_CO,7.79677419,MYLU,-0.9569521,1.1253637
VA_CO,7.79677419,PESU,-2.2236521,1.1253637
VA_CR,8.95806452,MYLU,-3.910554,0.4798567
VA_CR,10.60322581,MYLU,-4.3305224,0.7117425
VA_CR,1.57096774,MYSE,-6.0554188,1.5915047
VA_CR,1.57096774,PESU,-5.1627093,1.5915047
VA_CR,2.76451613,MYLU,-2.3745406,1.5915047
VA_CR,2.76451613,PESU,-3.7827957,0.5305016
VA_CR,7.76451613,PESU,-0.6751687,0.3183009
VT_EL,6.76451613,EPFU,-3.4990094,0.4253475
VT_EL,6.76451613,MYLE,-2.0702152,0.4594278
NY_HA,6.73225806,EPFU,-3.6422312,0.4594278
NY_HI,0.44193548,MYLE,-4.8773679,1.5915047
NY_HI,0.44193548,MYLU,-4.7667933,0.3978762
NY_HI,0.44193548,MYSE,-5.0620142,1.5915047
NY_HI,5.57096774,EPFU,-3.3034033,1.1253637
NY_HI,5.57096774,MYLE,-4.1699367,0.6015322
NY_HI,5.57096774,MYLU,-3.1077809,0.4798567
MA_HO,8.82903226,EPFU,-4.6539376,1.5915047
MA_HO,8.82903226,MYLU,-2.2659452,0.7957523
VA_HU,9.02258065,MYLU,-3.2433963,0.5626819
VA_HU,2.73225806,MYLU,-2.6593317,0.4798567
VA_HU,2.73225806,PESU,-2.0345319,0.9188557
VA_HU,7.31290323,EPFU,-2.3491066,0.9188557
VA_HU,7.31290323,MYLE,-1.9096342,1.5915047
VA_HU,7.31290323,MYLU,-0.3243498,0.2372475
VA_HU,7.31290323,PESU,-0.9809778,1.1253637
VA_KE,0.02258065,MYLU,-3.8208162,1.1253637
VA_KE,0.02258065,MYSE,-3.9318729,0.7957523
VA_KE,0.02258065,PESU,-3.931505,1.5915047
VA_KE,2.05483871,MYLU,-5.0857447,0.7117425
VA_KE,3.1516129,MYLU,-5.0578444,0.7117425
VA_KE,3.1516129,MYSO,-3.9283533,1.5915047
VA_KE,3.1516129,PESU,-4.6699356,1.1253637
VA_KE,7.82903226,MYLU,-1.1893556,0.3393099
VA_KE,7.82903226,MYSO,-2.2847601,0.9188557
VA_KE,7.82903226,PESU,-1.4711743,0.3472948
VA_LI,9.18387097,MYLU,-3.8498095,0.441404
NY_ME,9.28064516,EPFU,-2.4888163,0.7117425
NH_ME,9.7,MYLU,-2.5196467,0.3859966
VA_NE,2.08709677,MYSO,-5.0144599,1.5915047
VA_NE,3.60322581,MYLU,-2.6628244,0.503278
VA_NE,3.60322581,MYSO,-5.7999156,1.1253637
VA_NE,7.79677419,MYLU,-1.6426926,0.7117425
VA_NE,7.79677419,MYSO,-3.4876599,0.3121197
VA_PO,9.2483871,MYLU,-4.66449,1.1253637
VA_PO,10.57096774,MYLU,-5.2167234,1.1253637
MA_PR,9.47419355,EPFU,-5.4063395,1.5915047
MA_PR,9.47419355,MYLU,-3.082491,0.2729408
MA_PR,11.05483871,MYLU,-6.8136365,1.5915047
NH_PU,9.50645161,EPFU,-5.3058617,1.1253637
MA_SE,9.76451613,EPFU,-2.2323403,0.6015322
VA_SH,7.37741935,MYLU,-0.6817666,1.5915047
VA_SH,7.37741935,MYSO,-2.2017945,1.5915047
VA_SH,7.37741935,PESU,-0.886853,0.503278
VA_ST,1.86129032,MYLU,-2.3274681,0.503278
VA_ST,1.86129032,MYSE,-5.1839199,1.5915047
VA_ST,1.86129032,MYSO,-4.4056892,0.9188557
VA_ST,1.86129032,PESU,-3.2573593,1.5915047
VA_ST,2.28064516,MYLU,-4.4672092,1.1253637
VA_ST,3.21612903,MYLU,-3.2979395,0.441404
VA_ST,3.21612903,MYSE,-3.8810645,1.5915047
VA_ST,3.21612903,MYSO,-4.0667647,0.5305016
VA_ST,3.21612903,PESU,-2.9474454,0.6497291
VA_ST,7.63548387,EPFU,-2.23941,0.9188557
VA_ST,7.63548387,MYLU,-1.1015119,0.3859966
VA_ST,7.63548387,MYSO,-1.8450901,0.4253475
VA_ST,7.63548387,PESU,-1.0418811,0.6015322
VA_ST,2.99032258,MYLU,-2.0337845,1.5915047
VA_ST,2.99032258,PESU,-3.5738641,1.1253637
VA_TA,2.2483871,PESU,-5.1471959,1.5915047
VA_TA,2.95806452,MYLU,-4.1034156,0.7117425
VA_TA,7.40967742,MYLU,-1.892717,1.5915047
VA_TA,7.40967742,PESU,-0.6522689,0.6015322
NY_WA,0.47419355,MYLU,-4.7399887,0.295535
NY_WA,1.47419355,MYLU,-4.990524,0.7957523
NY_WA,2.95806452,MYLU,-1.1881092,0.3651162
NY_WA,7.18387097,EPFU,-2.5676622,0.3978762
NY_WA,7.18387097,MYLU,-1.9359274,0.3062852
NY_WA,7.18387097,MYSO,-2.688925,1.5915047
NY_WA,7.95806452,MYLU,-1.7557194,0.503278
NY_WA,8.34516129,MYLU,-2.4608216,0.3121197
NY_WI,0.50645161,MYLU,-4.8588616,0.6015322
NY_WI,0.53870968,MYLU,-4.7921671,0.3248645
NY_WI,1.50645161,MYLU,-4.1156124,0.441404
NY_WI,7.44193548,EPFU,-2.4421484,0.6015322
NY_WI,7.44193548,MYLU,-1.4539087,0.503278
NY_WI,8.37741935,MYLU,-1.8467492,0.3859966
NY_LA,4.37741935,EPFU,-2.2268724,0.5305016
NY_LA,7.95806452,EPFU,-3.8035028,0.7117425
NY_WB,9.66774194,MYLU,-2.3676006,0.3859966
NY_WB,11.76451613,MYLU,-5.4128924,1.5915047
VA_WI,7.60322581,EPFU,-1.1633026,0.5305016
VA_WI,7.60322581,PESU,-0.728728,0.6497291
IL_ZI,3.37741935,EPFU,-1.999988,0.5305016
IL_ZI,3.37741935,MYLU,-1.822318,0.3558713
IL_ZI,3.37741935,MYSE,-0.5296813,0.3751212
IL_ZI,3.37741935,MYSO,-3.7482232,0.4253475
IL_ZI,3.37741935,PESU,-1.3548974,0.3558713
IL_ZI,7.47419355,EPFU,-2.0839475,0.3558713
IL_ZI,7.47419355,MYLU,-0.9258269,0.3651162
IL_ZI,7.47419355,MYSE,-2.845794,1.5915047
IL_ZI,7.47419355,MYSO,-2.3198684,0.441404
IL_ZI,7.47419355,PESU,-1.1716261,0.3651162
IL_ZI,7.53870968,EPFU,-2.6606388,0.4109247
IL_ZI,7.53870968,MYLU,-0.9855573,0.3558713
IL_ZI,7.53870968,MYSE,-0.7658487,0.3393099
MA_ZO,6.95806452,EPFU,-3.3894145,0.4798567